station,year,month,day,date,PM2.5,PM10,SO2,NO2,CO,O3,AQI_value,AQI_label,highest_pollutant
Aotizhongxin,2013,4,3,2013-04-03,124.0,205.0,51.0,88.0,1454.0,46.0,163,Unhealthy,PM2.5
Aotizhongxin,2013,4,4,2013-04-04,67.0,111.0,62.0,85.0,2270.0,19.0,103,Unhealthy for Sensitive Groups,NO2
Aotizhongxin,2013,4,5,2013-04-05,55.0,50.0,12.0,41.0,1179.0,37.0,75,Moderate,PM2.5
Aotizhongxin,2013,4,6,2013-04-06,11.0,23.0,8.0,27.0,458.0,59.0,34,Good,NO2
Aotizhongxin,2013,4,7,2013-04-07,79.0,127.0,42.0,72.0,1254.0,33.0,105,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,4,8,2013-04-08,26.0,124.0,8.0,21.0,450.0,68.0,87,Moderate,PM10
Aotizhongxin,2013,4,9,2013-04-09,12.0,29.0,6.0,14.0,408.0,76.0,38,Good,O3
Aotizhongxin,2013,4,10,2013-04-10,13.0,30.0,7.0,32.0,500.0,57.0,40,Good,NO2
Aotizhongxin,2013,4,11,2013-04-11,23.0,64.0,11.0,62.0,727.0,40.0,77,Moderate,NO2
Aotizhongxin,2013,4,12,2013-04-12,54.0,135.0,23.0,88.0,804.0,26.0,104,Unhealthy for Sensitive Groups,NO2
Aotizhongxin,2013,4,13,2013-04-13,62.0,137.0,27.0,54.0,754.0,41.0,94,Moderate,PM10
Aotizhongxin,2013,4,14,2013-04-14,35.0,109.0,14.0,42.0,638.0,59.0,80,Moderate,PM10
Aotizhongxin,2013,4,15,2013-04-15,75.0,182.0,51.0,74.0,1400.0,45.0,116,Unhealthy for Sensitive Groups,PM10
Aotizhongxin,2013,4,16,2013-04-16,57.0,161.0,33.0,49.0,979.0,61.0,106,Unhealthy for Sensitive Groups,PM10
Aotizhongxin,2013,4,17,2013-04-17,48.0,90.0,21.0,53.0,683.0,57.0,70,Moderate,PM10
Aotizhongxin,2013,4,18,2013-04-18,11.0,42.0,4.0,29.0,352.0,67.0,42,Good,PM10
Aotizhongxin,2013,4,19,2013-04-19,50.0,87.0,21.0,56.0,758.0,36.0,70,Moderate,NO2
Aotizhongxin,2013,4,20,2013-04-20,70.0,84.0,11.0,55.0,692.0,46.0,94,Moderate,PM2.5
Aotizhongxin,2013,4,21,2013-04-21,127.0,160.0,29.0,71.0,996.0,19.0,167,Unhealthy,PM2.5
Aotizhongxin,2013,4,22,2013-04-22,173.0,183.0,47.0,67.0,1169.0,31.0,223,Very Unhealthy,PM2.5
Aotizhongxin,2013,4,23,2013-04-23,184.0,192.0,28.0,62.0,1196.0,16.0,234,Very Unhealthy,PM2.5
Aotizhongxin,2013,4,24,2013-04-24,89.0,117.0,15.0,40.0,887.0,37.0,117,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,4,25,2013-04-25,12.0,39.0,6.0,39.0,425.0,50.0,49,Good,NO2
Aotizhongxin,2013,4,26,2013-04-26,65.0,150.0,36.0,79.0,1042.0,43.0,100,Moderate,PM10
Aotizhongxin,2013,4,27,2013-04-27,64.0,128.0,47.0,69.0,948.0,74.0,89,Moderate,PM10
Aotizhongxin,2013,4,28,2013-04-28,72.0,119.0,55.0,60.0,1616.0,74.0,96,Moderate,PM2.5
Aotizhongxin,2013,4,29,2013-04-29,15.0,62.0,7.0,24.0,356.0,80.0,56,Moderate,PM10
Aotizhongxin,2013,4,30,2013-04-30,18.0,54.0,8.0,44.0,379.0,65.0,55,Moderate,NO2
Aotizhongxin,2013,5,1,2013-05-01,35.0,91.0,20.0,48.0,565.0,69.0,71,Moderate,PM10
Aotizhongxin,2013,5,2,2013-05-02,81.0,127.0,44.0,64.0,1000.0,92.0,107,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,5,3,2013-05-03,85.0,76.0,27.0,30.0,671.0,105.0,112,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,5,4,2013-05-04,102.0,121.0,30.0,37.0,638.0,93.0,134,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,5,5,2013-05-05,197.0,242.0,48.0,72.0,1367.0,78.0,247,Very Unhealthy,PM2.5
Aotizhongxin,2013,5,6,2013-05-06,221.0,254.0,35.0,50.0,1406.0,111.0,271,Very Unhealthy,PM2.5
Aotizhongxin,2013,5,7,2013-05-07,179.0,231.0,52.0,86.0,1404.0,92.0,229,Very Unhealthy,PM2.5
Aotizhongxin,2013,5,8,2013-05-08,130.0,160.0,73.0,65.0,1398.0,75.0,171,Unhealthy,PM2.5
Aotizhongxin,2013,5,9,2013-05-09,52.0,68.0,22.0,63.0,498.0,44.0,79,Moderate,NO2
Aotizhongxin,2013,5,10,2013-05-10,51.0,99.0,17.0,60.0,546.0,57.0,75,Moderate,PM10
Aotizhongxin,2013,5,11,2013-05-11,43.0,133.0,21.0,71.0,523.0,44.0,92,Moderate,PM10
Aotizhongxin,2013,5,12,2013-05-12,36.0,106.0,23.0,63.0,521.0,58.0,79,Moderate,NO2
Aotizhongxin,2013,5,13,2013-05-13,86.0,182.0,70.0,88.0,1596.0,69.0,116,Unhealthy for Sensitive Groups,PM10
Aotizhongxin,2013,5,14,2013-05-14,49.0,121.0,21.0,50.0,687.0,80.0,86,Moderate,PM10
Aotizhongxin,2013,5,15,2013-05-15,63.0,161.0,65.0,66.0,1383.0,96.0,106,Unhealthy for Sensitive Groups,PM10
Aotizhongxin,2013,5,16,2013-05-16,133.0,118.0,34.0,61.0,860.0,88.0,176,Unhealthy,PM2.5
Aotizhongxin,2013,5,17,2013-05-17,105.0,139.0,34.0,53.0,1233.0,89.0,137,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,5,18,2013-05-18,120.0,155.0,21.0,53.0,1104.0,69.0,157,Unhealthy,PM2.5
Aotizhongxin,2013,5,19,2013-05-19,56.0,172.0,11.0,26.0,512.0,58.0,111,Unhealthy for Sensitive Groups,PM10
Aotizhongxin,2013,5,20,2013-05-20,39.0,145.0,21.0,50.0,399.0,72.0,98,Moderate,PM10
Aotizhongxin,2013,5,21,2013-05-21,97.0,239.0,45.0,79.0,771.0,95.0,145,Unhealthy for Sensitive Groups,PM10
Aotizhongxin,2013,5,22,2013-05-22,60.0,142.0,43.0,76.0,1297.0,83.0,96,Moderate,PM10
Aotizhongxin,2013,5,23,2013-05-23,62.0,139.0,36.0,96.0,1752.0,72.0,108,Unhealthy for Sensitive Groups,NO2
Aotizhongxin,2013,5,24,2013-05-24,104.0,177.0,21.0,75.0,1462.0,57.0,136,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,5,25,2013-05-25,60.0,121.0,31.0,62.0,879.0,87.0,86,Moderate,PM10
Aotizhongxin,2013,5,26,2013-05-26,97.0,119.0,12.0,56.0,1366.0,19.0,127,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,5,27,2013-05-27,67.0,83.0,7.0,54.0,788.0,32.0,90,Moderate,PM2.5
Aotizhongxin,2013,5,28,2013-05-28,70.0,87.0,3.0,70.0,929.0,18.0,94,Moderate,PM2.5
Aotizhongxin,2013,5,29,2013-05-29,15.0,58.0,5.0,32.0,275.0,77.0,54,Moderate,PM10
Aotizhongxin,2013,5,30,2013-05-30,55.0,139.0,21.0,82.0,631.0,98.0,101,Unhealthy for Sensitive Groups,NO2
Aotizhongxin,2013,5,31,2013-05-31,95.0,158.0,32.0,53.0,819.0,128.0,125,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,6,1,2013-06-01,70.0,123.0,9.0,61.0,571.0,78.0,94,Moderate,PM2.5
Aotizhongxin,2013,6,2,2013-06-02,154.0,184.0,15.0,68.0,1546.0,72.0,204,Very Unhealthy,PM2.5
Aotizhongxin,2013,6,3,2013-06-03,118.0,156.0,15.0,79.0,1267.0,111.0,154,Unhealthy,PM2.5
Aotizhongxin,2013,6,4,2013-06-04,123.0,167.0,13.0,89.0,1671.0,60.0,161,Unhealthy,PM2.5
Aotizhongxin,2013,6,5,2013-06-05,123.0,118.0,3.0,56.0,1537.0,22.0,161,Unhealthy,PM2.5
Aotizhongxin,2013,6,6,2013-06-06,127.0,137.0,4.0,59.0,2270.0,11.0,167,Unhealthy,PM2.5
Aotizhongxin,2013,6,7,2013-06-07,122.0,132.0,6.0,68.0,2254.0,6.0,160,Unhealthy,PM2.5
Aotizhongxin,2013,6,8,2013-06-08,170.0,197.0,7.0,81.0,2529.0,8.0,220,Very Unhealthy,PM2.5
Aotizhongxin,2013,6,9,2013-06-09,48.0,55.0,6.0,66.0,954.0,22.0,82,Moderate,NO2
Aotizhongxin,2013,6,10,2013-06-10,23.0,36.0,5.0,70.0,538.0,42.0,87,Moderate,NO2
Aotizhongxin,2013,6,11,2013-06-11,62.0,89.0,6.0,88.0,546.0,59.0,104,Unhealthy for Sensitive Groups,NO2
Aotizhongxin,2013,6,12,2013-06-12,60.0,72.0,14.0,69.0,825.0,106.0,86,Moderate,NO2
Aotizhongxin,2013,6,13,2013-06-13,113.0,139.0,32.0,85.0,1200.0,130.0,147,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,6,14,2013-06-14,110.0,160.0,34.0,79.0,804.0,155.0,144,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,6,15,2013-06-15,127.0,187.0,38.0,109.0,1346.0,100.0,167,Unhealthy,PM2.5
Aotizhongxin,2013,6,16,2013-06-16,173.0,184.0,37.0,91.0,1808.0,37.0,223,Very Unhealthy,PM2.5
Aotizhongxin,2013,6,17,2013-06-17,44.0,57.0,8.0,56.0,562.0,86.0,70,Moderate,NO2
Aotizhongxin,2013,6,18,2013-06-18,48.0,99.0,14.0,91.0,642.0,80.0,106,Unhealthy for Sensitive Groups,NO2
Aotizhongxin,2013,6,19,2013-06-19,52.0,85.0,19.0,59.0,735.0,114.0,74,Moderate,NO2
Aotizhongxin,2013,6,20,2013-06-20,56.0,93.0,20.0,97.0,364.0,55.0,109,Unhealthy for Sensitive Groups,NO2
Aotizhongxin,2013,6,21,2013-06-21,51.0,102.0,13.0,81.0,513.0,75.0,101,Unhealthy for Sensitive Groups,NO2
Aotizhongxin,2013,6,22,2013-06-22,50.0,64.0,4.0,62.0,750.0,32.0,77,Moderate,NO2
Aotizhongxin,2013,6,23,2013-06-23,57.0,63.0,9.0,63.0,988.0,103.0,79,Moderate,NO2
Aotizhongxin,2013,6,24,2013-06-24,110.0,127.0,9.0,60.0,1225.0,117.0,144,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,6,25,2013-06-25,118.0,112.0,15.0,61.0,1463.0,34.0,154,Unhealthy,PM2.5
Aotizhongxin,2013,6,26,2013-06-26,152.0,149.0,11.0,60.0,1700.0,102.0,202,Very Unhealthy,PM2.5
Aotizhongxin,2013,6,27,2013-06-27,85.0,111.0,12.0,69.0,1938.0,111.0,112,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,6,28,2013-06-28,318.0,329.0,32.0,76.0,2369.0,61.0,355,Hazardous,PM2.5
Aotizhongxin,2013,6,29,2013-06-29,102.0,107.0,10.0,61.0,1504.0,40.0,134,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,6,30,2013-06-30,222.0,227.0,19.0,71.0,2437.0,29.0,272,Very Unhealthy,PM2.5
Aotizhongxin,2013,7,1,2013-07-01,175.0,147.0,19.0,73.0,2102.0,7.0,225,Very Unhealthy,PM2.5
Aotizhongxin,2013,7,2,2013-07-02,14.0,28.0,5.0,44.0,375.0,75.0,55,Moderate,NO2
Aotizhongxin,2013,7,3,2013-07-03,27.0,80.0,8.0,72.0,504.0,62.0,90,Moderate,NO2
Aotizhongxin,2013,7,4,2013-07-04,22.0,64.0,7.0,57.0,400.0,68.0,71,Moderate,NO2
Aotizhongxin,2013,7,5,2013-07-05,20.0,48.0,5.0,46.0,350.0,86.0,57,Moderate,NO2
Aotizhongxin,2013,7,6,2013-07-06,57.0,135.0,14.0,59.0,767.0,125.0,93,Moderate,PM10
Aotizhongxin,2013,7,7,2013-07-07,88.0,110.0,9.0,42.0,723.0,129.0,116,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,7,8,2013-07-08,98.0,90.0,6.0,55.0,804.0,84.0,129,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,7,9,2013-07-09,88.0,75.0,7.0,61.0,821.0,26.0,116,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,7,10,2013-07-10,31.0,42.0,4.0,54.0,535.0,18.0,67,Moderate,NO2
Aotizhongxin,2013,7,11,2013-07-11,34.0,53.0,4.0,58.0,574.0,29.0,72,Moderate,NO2
Aotizhongxin,2013,7,12,2013-07-12,68.0,84.0,6.0,55.0,714.0,100.0,91,Moderate,PM2.5
Aotizhongxin,2013,7,13,2013-07-13,129.0,116.0,9.0,48.0,1096.0,108.0,170,Unhealthy,PM2.5
Aotizhongxin,2013,7,14,2013-07-14,101.0,99.0,16.0,47.0,946.0,86.0,132,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,7,15,2013-07-15,48.0,32.0,4.0,53.0,1192.0,7.0,66,Moderate,PM2.5
Aotizhongxin,2013,7,16,2013-07-16,23.0,32.0,5.0,41.0,477.0,52.0,51,Moderate,NO2
Aotizhongxin,2013,7,17,2013-07-17,42.0,83.0,13.0,60.0,600.0,84.0,75,Moderate,NO2
Aotizhongxin,2013,7,18,2013-07-18,146.0,131.0,16.0,54.0,1429.0,76.0,194,Unhealthy,PM2.5
Aotizhongxin,2013,7,19,2013-07-19,130.0,123.0,10.0,50.0,812.0,96.0,171,Unhealthy,PM2.5
Aotizhongxin,2013,7,20,2013-07-20,80.0,98.0,7.0,50.0,704.0,86.0,106,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,7,21,2013-07-21,76.0,106.0,9.0,58.0,767.0,84.0,101,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,7,22,2013-07-22,86.0,126.0,16.0,62.0,1067.0,90.0,114,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,7,23,2013-07-23,41.0,74.0,8.0,36.0,440.0,103.0,62,Moderate,PM10
Aotizhongxin,2013,7,24,2013-07-24,36.0,65.0,9.0,50.0,438.0,58.0,62,Moderate,NO2
Aotizhongxin,2013,7,25,2013-07-25,31.0,81.0,12.0,49.0,590.0,90.0,66,Moderate,PM10
Aotizhongxin,2013,7,26,2013-07-26,51.0,80.0,28.0,65.0,1521.0,13.0,81,Moderate,NO2
Aotizhongxin,2013,7,27,2013-07-27,106.0,87.0,6.0,68.0,1292.0,14.0,139,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,7,28,2013-07-28,70.0,58.0,7.0,54.0,1144.0,70.0,94,Moderate,PM2.5
Aotizhongxin,2013,7,29,2013-07-29,59.0,98.0,5.0,82.0,825.0,48.0,101,Unhealthy for Sensitive Groups,NO2
Aotizhongxin,2013,7,30,2013-07-30,115.0,131.0,7.0,60.0,929.0,117.0,150,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,7,31,2013-07-31,44.0,66.0,6.0,47.0,502.0,112.0,61,Moderate,PM2.5
Aotizhongxin,2013,8,1,2013-08-01,43.0,38.0,3.0,63.0,623.0,43.0,79,Moderate,NO2
Aotizhongxin,2013,8,2,2013-08-02,70.0,74.0,7.0,59.0,825.0,75.0,94,Moderate,PM2.5
Aotizhongxin,2013,8,3,2013-08-03,26.0,52.0,4.0,44.0,340.0,90.0,55,Moderate,NO2
Aotizhongxin,2013,8,4,2013-08-04,78.0,93.0,6.0,41.0,643.0,114.0,104,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,8,5,2013-08-05,45.0,48.0,4.0,48.0,460.0,130.0,75,Moderate,O3
Aotizhongxin,2013,8,6,2013-08-06,134.0,172.0,5.0,62.0,849.0,100.0,177,Unhealthy,PM2.5
Aotizhongxin,2013,8,7,2013-08-07,34.0,29.0,5.0,42.0,531.0,56.0,52,Moderate,NO2
Aotizhongxin,2013,8,8,2013-08-08,28.0,63.0,7.0,58.0,560.0,79.0,72,Moderate,NO2
Aotizhongxin,2013,8,9,2013-08-09,35.0,78.0,10.0,54.0,503.0,106.0,67,Moderate,NO2
Aotizhongxin,2013,8,10,2013-08-10,92.0,146.0,10.0,54.0,951.0,137.0,121,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,8,11,2013-08-11,147.0,146.0,4.0,51.0,1247.0,60.0,196,Unhealthy,PM2.5
Aotizhongxin,2013,8,12,2013-08-12,49.0,42.0,3.0,40.0,434.0,71.0,67,Moderate,PM2.5
Aotizhongxin,2013,8,13,2013-08-13,87.0,93.0,8.0,54.0,821.0,92.0,115,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,8,14,2013-08-14,67.0,92.0,6.0,75.0,708.0,96.0,94,Moderate,NO2
Aotizhongxin,2013,8,15,2013-08-15,121.0,139.0,9.0,61.0,1040.0,90.0,158,Unhealthy,PM2.5
Aotizhongxin,2013,8,16,2013-08-16,126.0,153.0,8.0,67.0,1325.0,40.0,165,Unhealthy,PM2.5
Aotizhongxin,2013,8,17,2013-08-17,44.0,67.0,12.0,48.0,558.0,52.0,61,Moderate,PM2.5
Aotizhongxin,2013,8,18,2013-08-18,13.0,34.0,6.0,39.0,427.0,74.0,49,Good,NO2
Aotizhongxin,2013,8,19,2013-08-19,21.0,50.0,6.0,60.0,506.0,65.0,75,Moderate,NO2
Aotizhongxin,2013,8,20,2013-08-20,93.0,146.0,14.0,68.0,1221.0,88.0,122,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,8,21,2013-08-21,107.0,88.0,8.0,55.0,1019.0,60.0,140,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,8,22,2013-08-22,117.0,149.0,5.0,103.0,1169.0,17.0,152,Unhealthy,PM2.5
Aotizhongxin,2013,8,23,2013-08-23,58.0,85.0,7.0,69.0,850.0,42.0,86,Moderate,NO2
Aotizhongxin,2013,8,24,2013-08-24,34.0,82.0,7.0,73.0,665.0,56.0,91,Moderate,NO2
Aotizhongxin,2013,8,25,2013-08-25,37.0,90.0,8.0,67.0,592.0,100.0,84,Moderate,NO2
Aotizhongxin,2013,8,26,2013-08-26,52.0,106.0,12.0,64.0,796.0,92.0,80,Moderate,NO2
Aotizhongxin,2013,8,27,2013-08-27,60.0,85.0,12.0,65.0,1315.0,27.0,81,Moderate,PM2.5
Aotizhongxin,2013,8,28,2013-08-28,61.0,56.0,6.0,55.0,1808.0,19.0,82,Moderate,PM2.5
Aotizhongxin,2013,8,29,2013-08-29,28.0,49.0,4.0,29.0,650.0,32.0,49,Good,PM10
Aotizhongxin,2013,8,30,2013-08-30,9.0,25.0,2.0,32.0,267.0,38.0,40,Good,NO2
Aotizhongxin,2013,8,31,2013-08-31,16.0,47.0,6.0,44.0,383.0,36.0,55,Moderate,NO2
Aotizhongxin,2013,9,1,2013-09-01,42.0,91.0,11.0,50.0,858.0,73.0,71,Moderate,PM10
Aotizhongxin,2013,9,2,2013-09-02,48.0,76.0,11.0,51.0,812.0,79.0,66,Moderate,PM2.5
Aotizhongxin,2013,9,3,2013-09-03,94.0,132.0,11.0,56.0,1033.0,85.0,124,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,9,4,2013-09-04,70.0,66.0,5.0,52.0,917.0,48.0,94,Moderate,PM2.5
Aotizhongxin,2013,9,5,2013-09-05,20.0,24.0,6.0,38.0,488.0,51.0,48,Good,NO2
Aotizhongxin,2013,9,6,2013-09-06,64.0,68.0,14.0,53.0,1350.0,52.0,86,Moderate,PM2.5
Aotizhongxin,2013,9,7,2013-09-07,72.0,88.0,11.0,65.0,1296.0,54.0,96,Moderate,PM2.5
Aotizhongxin,2013,9,8,2013-09-08,86.0,118.0,20.0,65.0,1358.0,43.0,114,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,9,9,2013-09-09,75.0,81.0,11.0,54.0,804.0,59.0,100,Moderate,PM2.5
Aotizhongxin,2013,9,10,2013-09-10,53.0,72.0,11.0,58.0,658.0,35.0,72,Moderate,PM2.5
Aotizhongxin,2013,9,11,2013-09-11,58.0,107.0,16.0,64.0,729.0,63.0,80,Moderate,NO2
Aotizhongxin,2013,9,12,2013-09-12,149.0,198.0,25.0,112.0,1538.0,35.0,199,Unhealthy,PM2.5
Aotizhongxin,2013,9,13,2013-09-13,84.0,99.0,4.0,64.0,1071.0,14.0,111,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,9,14,2013-09-14,51.0,65.0,6.0,53.0,900.0,25.0,70,Moderate,PM2.5
Aotizhongxin,2013,9,15,2013-09-15,21.0,64.0,11.0,56.0,442.0,25.0,70,Moderate,NO2
Aotizhongxin,2013,9,16,2013-09-16,47.0,103.0,19.0,66.0,1012.0,24.0,82,Moderate,NO2
Aotizhongxin,2013,9,17,2013-09-17,83.0,120.0,17.0,76.0,1871.0,1.0,110,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,9,18,2013-09-18,105.0,102.0,18.0,62.0,2246.0,18.0,137,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,9,19,2013-09-19,106.0,104.0,18.0,55.0,1721.0,34.0,139,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,9,20,2013-09-20,52.0,75.0,5.0,54.0,700.0,28.0,71,Moderate,PM2.5
Aotizhongxin,2013,9,21,2013-09-21,39.0,76.0,9.0,53.0,479.0,57.0,66,Moderate,NO2
Aotizhongxin,2013,9,22,2013-09-22,77.0,128.0,11.0,86.0,1208.0,5.0,103,Unhealthy for Sensitive Groups,NO2
Aotizhongxin,2013,9,23,2013-09-23,39.0,60.0,10.0,41.0,950.0,11.0,55,Moderate,PM2.5
Aotizhongxin,2013,9,24,2013-09-24,10.0,24.0,7.0,40.0,408.0,21.0,50,Good,NO2
Aotizhongxin,2013,9,25,2013-09-25,12.0,42.0,6.0,50.0,358.0,27.0,62,Moderate,NO2
Aotizhongxin,2013,9,26,2013-09-26,42.0,94.0,16.0,73.0,758.0,24.0,91,Moderate,NO2
Aotizhongxin,2013,9,27,2013-09-27,162.0,211.0,34.0,103.0,1662.0,52.0,212,Very Unhealthy,PM2.5
Aotizhongxin,2013,9,28,2013-09-28,241.0,261.0,22.0,86.0,1379.0,48.0,291,Very Unhealthy,PM2.5
Aotizhongxin,2013,9,29,2013-09-29,225.0,232.0,19.0,98.0,1446.0,13.0,275,Very Unhealthy,PM2.5
Aotizhongxin,2013,9,30,2013-09-30,154.0,164.0,29.0,92.0,1479.0,14.0,204,Very Unhealthy,PM2.5
Aotizhongxin,2013,10,1,2013-10-01,76.0,86.0,10.0,61.0,1029.0,18.0,101,Unhealthy for Sensitive Groups,PM2.5
Aotizhongxin,2013,10,2,2013-10-02,16.0,30.0,6.0,39.0,304.0,40.0,49,Good,NO2
Aotizhongxin,2013,10,3,2013-10-03,57.0,92.0,31.0,63.0,1167.0,29.0,79,Moderate,NO2
Aotizhongxin,2013,10,4,2013-10-04,139.0,171.0,47.0,92.0,2121.0,31.0,184,Unhealthy,PM2.5
Aotizhongxin,2013,10,5,2013-10-05,281.0,300.0,30.0,113.0,2267.0,32.0,325,Hazardous,PM2.5
Aotizhongxin,2013,10,6,2013-10-06,226.0,236.0,45.0,99.0,2333.0,13.0,276,Very Unhealthy,PM2.5
